Title,Description,HTML,Content


Metadata DEm Shaded Relief 301ft.htmlYour browser does not support iframes, but you can use the following link. Link
DataZip Data:  DEM Shaded Relief 301ft.zip
Serviceshttp://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_DEM_SHADED_RELIEF_301FT/MapServer
ViewerYour browser does not support iframes, but you can use the following link. Link"
"Bedrock Geology, 1967","Distribution and extent of the bedrock geologic units within Illinois. Data originally from the Geologic Map of Illinois (1967) by Willman and et. al.. Depicts geologic units and fault lines. Attributes include geologic unit and fault designation. ISGS, 1996.",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_Geologic_Units_500K_1967_Py.html,"DataSummaryDistribution and extent of the bedrock geologic units within Illinois. Data originally from the Geologic Map of Illinois (1967) by Willman and et. al.. Depicts geologic units and fault lines. Attributes include geologic unit and fault designation. ISGS, 1996.


Metadata IL Bedrock Geology 1967.htmlYour browser does not support iframes, but you can use the following link. Link
DataZip Data:  IL_Geologic_Units_500K_1967_Py.zip (9.91 MB)"
"Bedrock Geology, 2005","Distribution and extent of the bedrock geologic units within Illinois. Data are as depicted on the map Bedrock Geology of Illinois (2005) by D. Kolata (compiler). ISGS, 2007.",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_Bedrock_Geology_500K_2005_Py.html,"DataSummaryDistribution and extent of the bedrock geologic units within Illinois. Data are as depicted on the map Bedrock Geology of Illinois (2005) by D. Kolata (compiler). ISGS, 2007.


Metadata IL Bedrock Geology 2005.htmlYour browser does not support iframes, but you can use the following link. Link
DataZip Data:  IL Bedrock Geology 2005.zip
Serviceshttps://data.isgs.illinois.edu/arcgis/rest/services/Geology/Bedrock_Geology_500K_2005/MapServer
ViewerOpen application in new browser windowYour browser does not support iframes, but you can use the following link. Link"
Bedrock Topography,"Topography of the bedrock surface in Illinois. Bedrock topography is shown as 50-foot (15-meter) contours of bedrock elevation above mean sea level (msl). Several major bedrock valleys are found across the state. Attributes include contour values. ISGS, 1994.",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_Bedrock_Topography_1994_Ln.html,"DataSummaryTopography of the bedrock surface in Illinois. Bedrock topography is shown as 50-foot (15-meter) contours of bedrock elevation above mean sea level (msl). Several major bedrock valleys are found across the state. Attributes include contour values. ISGS, 1994.


Metadata IL Bedrock Topography 1994.htmlYour browser does not support iframes, but you can use the following link. Link
DataZip Data:  IL Bedrock Topography 1994.zip
Serviceshttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/Bedrock_Topography_1994_Ln/MapServer
ViewerYour browser does not support iframes, but you can use the following link. Link"
Bedrock Valleys,"Continuous lines representing the lowermost elevations/ locations of (buried) bedrock valleys in the state of Illinois. Names of buried valleys are annotated. Attributes include bedrock valley names. ISGS, 1994.",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_Bedrock_Valleys_Ln.html,"DataSummaryContinuous lines representing the lowermost elevations/ locations of (buried) bedrock valleys in the state of Illinois. Names of buried valleys are annotated. Attributes include bedrock valley names. ISGS, 1994.


Metadata IL Bedrock Valleys.htmlYour browser does not support iframes, but you can use the following link. Link
DataZip Data:  IL Bedrock Valleys.zip
Serviceshttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/Bedrock_Valleys/MapServer
ViewerYour browser does not support iframes, but you can use the following link. Link"
Driftless Areas,"Driftless areas in Illinois. These areas are analogous to areas of the state where the bedrock surface is not buried by glacial drift. Data originally from the Buried Bedrock Surface map by Herzog et al. (1994). There are no user defined attribute items. ISGS, 1994 (revised 1998).",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_Driftless_Areas_Py.html,"DataSummaryDriftless areas in Illinois. These areas are analogous to areas of the state where the bedrock surface is not buried by glacial drift. Data originally from the Buried Bedrock Surface map by Herzog et al. (1994). There are no user defined attribute items. ISGS, 1994 (revised 1998).


Metadata IL Driftless Areas.htmlYour browser does not support iframes, but you can use the following link. Link
DataZip Data:  IL Driftless Areas.zip
Serviceshttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/Driftless_Areas/MapServer
ViewerYour browser does not support iframes, but you can use the following link. Link"
Elevation of the Base of the Barlow Limestone,"This datafile shows the general elevation of the base of the Barlow Limestone in Illinois.  These 20- and/or 100-foot isolines were contoured using Geographix and Z-map Plus software.  The contours were created using over 50,000 data points from the ISGS Oracle database.  The data covers only those portions of the state where the formation is present and does not include any coverage outside of Illinois where the formation may be present.  The data was contoured using fault lines for control and manual adjustments were made to the contours as a final refinement of the computer created contours.  This data set is intended for use at a scale of 1:100,000 or greater.
This data set was created as part of an effort to update some of the ISGS map products utilizing new data and software capabilities.  This data set was developed in order to create an updated version of the map published by H.M. Bristol in 1968.  These data are appropriate for use in local and regional thematic analysis.  The data are not appropriate as a geodetic, legal or engineering base.",none,"DataSummaryThis datafile shows the general elevation of the base of the Barlow Limestone in Illinois.  These 20- and/or 100-foot isolines were contoured using Geographix and Z-map Plus software.  The contours were created using over 50,000 data points from the ISGS Oracle database.  The data covers only those portions of the state where the formation is present and does not include any coverage outside of Illinois where the formation may be present.  The data was contoured using fault lines for control and manual adjustments were made to the contours as a final refinement of the computer created contours.  This data set is intended for use at a scale of 1:100,000 or greater.
This data set was created as part of an effort to update some of the ISGS map products utilizing new data and software capabilities.  This data set was developed in order to create an updated version of the map published by H.M. Bristol in 1968.  These data are appropriate for use in local and regional thematic analysis.  The data are not appropriate as a geodetic, legal or engineering base.
 


Metadata IL_Structure_BaseBarlow_Elev_20ft_2009_Ln.shp_.xml
DataZip Data:  IL_Structure_BaseBarlow_Elev_20ft_2009_Ln.zip
Serviceshttps://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"
Elevation of the Karnak Limestone,"This datafile shows the general elevation of the top of the Karnak Limestone in Illinois.  These 20- and/or 100-foot isolines were contoured using Geographix and Z-map Plus software.  The contours were created using over 32,000 data points from the ISGS Oracle database.  The data covers only those portions of the state where the formation is present and does not include any coverage outside of Illinois where the formation may be present.  The data was contoured using fault lines for control and manual adjustments were made to the contours as a final refinement of the computer created contours.  This data set is intended for use at a scale of 1:100,000 or greater.
This data set was created as part of an effort to update some of the ISGS map products utilizing new data and software capabilities.  This data set was developed in order to create an updated version of the map published by H.M. Bristol and R.H. Howard in 1976.  These data are appropriate for use in local and regional thematic analysis.  The data are not appropriate as a geodetic, legal or engineering base.",none,"DataSummaryThis datafile shows the general elevation of the top of the Karnak Limestone in Illinois.  These 20- and/or 100-foot isolines were contoured using Geographix and Z-map Plus software.  The contours were created using over 32,000 data points from the ISGS Oracle database.  The data covers only those portions of the state where the formation is present and does not include any coverage outside of Illinois where the formation may be present.  The data was contoured using fault lines for control and manual adjustments were made to the contours as a final refinement of the computer created contours.  This data set is intended for use at a scale of 1:100,000 or greater.
This data set was created as part of an effort to update some of the ISGS map products utilizing new data and software capabilities.  This data set was developed in order to create an updated version of the map published by H.M. Bristol and R.H. Howard in 1976.  These data are appropriate for use in local and regional thematic analysis.  The data are not appropriate as a geodetic, legal or engineering base.


Metadata IL_Structure_Karnak_Elev_20ft_2009_Ln.shp_.xml
DataZip Data:  IL_Structure_Karnak_Elev_20ft_2009_Ln.zip
Serviceshttps://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"
Elevation of the New Albany Shale,"This datafile shows the general elevation of the top of the New Albany Shale.  These 20- and/or 100-foot isolines were contoured using Esri ArcGIS software.  The contours were created using over data points from the ISGS Oracle database.  The data covers only those portions of the state where the formation is present and does not include any coverage outside of Illinois where the formation may be present.  This data set is intended for use at a scale of 1:100,000 or greater.  These data are appropriate for use in local and regional thematic analysis.  The data are not appropriate as a geodetic, legal or engineering base.",none,"DataSummaryThis datafile shows the general elevation of the top of the New Albany Shale.  These 20- and/or 100-foot isolines were contoured using Esri ArcGIS software.  The contours were created using over data points from the ISGS Oracle database.  The data covers only those portions of the state where the formation is present and does not include any coverage outside of Illinois where the formation may be present.  This data set is intended for use at a scale of 1:100,000 or greater.  These data are appropriate for use in local and regional thematic analysis.  The data are not appropriate as a geodetic, legal or engineering base.


DataZip Data:  IL_Structure_NewAlbany_Elev_20ft_Ln.zip
Serviceshttps://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"
"Geologic and Geophysical maps of the Ozark, Illinois, Indiana, and Kentucky (OIINK) Region","The 12 geologic and geophysical maps in this set span the four-state region of Missouri, Illinois, Indiana, and Kentucky. We have used existing local work to compile regional maps that provide a broader context for research on the tectonics of the Midcontinent (OIINK web site: http://www.indiana.edu/~oiink/).  This map series was originally conceived as a means to provide visual context for discussions associated with an NSF EarthScope Workshop on Tectonic Targets for EarthScope in the Midcontinent (S. Marshak, lead convener) that was held on April 11-13, 2010 in Urbana, Illinois. The maps are available from the Illinois State Geological Survey.  These Esri layer packages (ArcGIS v. 10.x) are being provided as-is and represent the GIS data as downloaded or digitized from the various source materials.",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/earthscope_data_sources_readme.pdf,"DataSummaryThe 12 geologic and geophysical maps in this set span the four-state region of Missouri, Illinois, Indiana, and Kentucky. We have used existing local work to compile regional maps that provide a broader context for research on the tectonics of the Midcontinent (OIINK web site: http://www.indiana.edu/~oiink/).  This map series was originally conceived as a means to provide visual context for discussions associated with an NSF EarthScope Workshop on Tectonic Targets for EarthScope in the Midcontinent (S. Marshak, lead convener) that was held on April 11-13, 2010 in Urbana, Illinois. The maps are available from the Illinois State Geological Survey.  These Esri layer packages (ArcGIS v. 10.x) are being provided as-is and represent the GIS data as downloaded or digitized from the various source materials. 


Metadata Earthscope_README.pdfYour browser does not support iframes, but you can use the following link. Link
DataNote: To use Esri layer packages, drag and drop the layer package from ArcCatalog into ArcMap. The source data will unzip and save to the default workspace folder, usually “C:\Users\[username]\Documents\ArcGIS\Packages”.
Data:  Map 1—Land-Surface Topography Map 2—Bedrock Topography Map 3—Surficial Geology with Shaded Relief Map 4—Bedrock Geology with Bedrock Topography Map 5—Structure-Contour Map of the Pennsylvanian Springfield Coal  Map 6—Structure-Contour Map of the Mississippian-Devonian New Albany Shale Group  Map 7—Structure-Contour Map of the Ordovician Trenton Group Map 8—Structure-Contour Map of the Top of the Precambrian Map 9—Isostatic Gravity Anomaly Map 10—Magnetic Anomaly Map 11—Fault and Fold Traces Map 12—Earthquake Epicenters
Serviceshttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_BedrockTopography_DEM/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_BedrockTopography_Hill/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_BedrockTopography/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_EarthquakeEpicenters/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_FaultAndFoldTraces/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_IsostaticGravityAnomaly/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_LandSurface_DEM/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_LandSurface_Hill/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_LandSurfaceTopography/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_MagneticAnomaly/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_NewAlbanyShaleAndCorrelatives/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_Precambrian/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_ReferenceLayers/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_SpringfieldAndBevierCoals/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_SurficialGeology/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_TrentonLimestone/MapServerhttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK/MapServer
ViewerOpen Story Map in new window
Your browser does not support iframes, but you can use the following link. Link"
Glacial Boundaries,"Glacial boundary lines representing the extent of glaciation for major glacial episodes in Illinois. Data originally from Quaternary Deposits in Illinois map by Lineback (1979) and modified according to the reclassification by Hansel and Johnson, ISGS Bulletin 104 (1996). Attribute items include glacial episode identifier. ISGS, 1984 (revised 1998).",/sites/clearinghouse.isgs/files/Clearinghouse/data/metadata/ISGS/IL_Glacial_Bndys_Py.html,"DataSummaryGlacial boundary lines representing the extent of glaciation for major glacial episodes in Illinois. Data originally from Quaternary Deposits in Illinois map by Lineback (1979) and modified according to the reclassification by Hansel and Johnson, ISGS Bulletin 104 (1996). Attribute items include glacial episode identifier. ISGS, 1984 (revised 1998).


MetadataYour browser does not support iframes, but you can use the following link. Link
DataZip Data:  IL Glacial Boundaries.zip
Serviceshttp://data.isgs.illinois.edu/arcgis/rest/services/Geology/Glacial_Boundaries/MapServer
ViewerYour browser does not support iframes, but you can use the following link. Link"
Glacial Drift Thickness and Character,"Unconsolidated deposits, mainly glacial drift, overlie the bedrock surface in most of Illinois. Data are originally from ISGS Circular 490 by Piskin and Bergstrom (1975), Plate 1. Contour lines are coded with thickness, and polygons (areas between contours) are coded with range of thickness. ISGS, 1994 (revised 1998).",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_Drift_Thickness.html,"DataSummaryUnconsolidated deposits, mainly glacial drift, overlie the bedrock surface in most of Illinois. Data are originally from ISGS Circular 490 by Piskin and Bergstrom (1975), Plate 1. Contour lines are coded with thickness, and polygons (areas between contours) are coded with range of thickness. ISGS, 1994 (revised 1998).


Metadata IL_Drift_Thickness.htmlYour browser does not support iframes, but you can use the following link. Link
DataZip Data:  IL Drift Thickness.zip
Serviceshttps://data.isgs.illinois.edu/arcgis/rest/services/Geology/Drift_Thickness/MapServer
ViewerYour browser does not support iframes, but you can use the following link. Link"
Illinois Borehole Temperatures,"This layer contains data describing borehole temperatures in the state of Illinois, obtained by the AASG for the Geothermal Data Project. The data table includes general information on the location of the borehole, temperature at some depth within the well, measurement procedure, location uncertainty and remarks. Citations are included in the dataset. The HeaderURI for a particular borehole is the cross-referencing link (foreign key) used to associate the borehole with web based information on the well construction, pictures or other information, specific to one feature. The data is displayed using a temperature gradient color scheme ramping from green (cool) to red (hot). Layer files containing the symbology for these data layers can be found in the USGIN repository at http://repository.usgin.org/uri_gin/usgin/dlio/206. The original data and metadata can be viewed or downloaded from the USGIN Repository at State Geothermal Data Repository or from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-borehole-temperatures.",none,"DataSummaryThis layer contains data describing borehole temperatures in the state of Illinois, obtained by the AASG for the Geothermal Data Project. The data table includes general information on the location of the borehole, temperature at some depth within the well, measurement procedure, location uncertainty and remarks. Citations are included in the dataset. The HeaderURI for a particular borehole is the cross-referencing link (foreign key) used to associate the borehole with web based information on the well construction, pictures or other information, specific to one feature. The data is displayed using a temperature gradient color scheme ramping from green (cool) to red (hot). Layer files containing the symbology for these data layers can be found in the USGIN repository at http://repository.usgin.org/uri_gin/usgin/dlio/206. The original data and metadata can be viewed or downloaded from the USGIN Repository at State Geothermal Data Repository or from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-borehole-temperatures.

Serviceshttp://geothermal.isgs.illinois.edu/arcgis/rest/services/aasggeothermal/ILBoreholeTemperatures/MapServer"
Illinois Drill Stem Tests,"This layer contains data related to drill stem tests for wells in Illinois, obtained by the AASG for the Geothermal Data Project. The data table includes general information on the location of the well, location uncertainty and test results and formation at depth. Information sources are included in the dataset. The HeaderURI for a particular well is the cross-referencing link (foreign key) used to associate the feature with web based information on the feature including pictures or other information. The data is displayed using a black circle with a lime green cross. The original data and metadata can be viewed or downloaded from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-drill-stem-tests.",none,"DataSummaryThis layer contains data related to drill stem tests for wells in Illinois, obtained by the AASG for the Geothermal Data Project. The data table includes general information on the location of the well, location uncertainty and test results and formation at depth. Information sources are included in the dataset. The HeaderURI for a particular well is the cross-referencing link (foreign key) used to associate the feature with web based information on the feature including pictures or other information. The data is displayed using a black circle with a lime green cross. The original data and metadata can be viewed or downloaded from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-drill-stem-tests.

Serviceshttp://geothermal.isgs.illinois.edu/arcgis/rest/services/aasggeothermal/ILDrillStemTests/MapServer"
Illinois Waterflood Units 1946-2002,"The Illinois State Geological Survey (ISGS) has collected data regarding injected and produced fluids of oil payzones for over 2000 waterflood projects in Illinois. These data are not collected by any other organization and are available only at the ISGS. These data were compiled to create a comprehensive data layer that delineates boundaries of all known waterflood projects currently operating and that have operated in the past in Illinois. Outlines of individual waterflood projects were compiled from historic hand-drawn maps (1:31680) by ISGS geologists or maps (scales vary) submitted by operators. These maps were scanned and georeferenced. Waterflood projects were then digitized. Information about each waterflood project is contained in a waterflood database completed in conjunction with this data layer. Some information from the waterflood database is related as attributes. As waterflood boundaries may change over time, only a portion of a waterflood throughout its history may be digitally represented. This data layer was created as part of a U. S. Department of Energy (DOE) Preferred Upstream Maintenance Pressure (PUMP) II initiative (DEFC26-02NT15132).
The data layer delineates boundaries of all known waterflood projects in Illinois in a digitial format. Waterflood information can then be used to distinguish areas that have been waterflooded from those that may not have been waterflooded. Areas not waterflooded or under-flooded can then be identified as underdeveloped areas (UDA's) which may have a high potential for economically feasible secondary oil recovery. Also, historic data is commonly used as analogs to evaluate potential of new floods. The data used in these analyses is contained in these files.",https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS//IL_Historical_Waterflood_Areas_Py.shp_.html,"DataSummaryThe Illinois State Geological Survey (ISGS) has collected data regarding injected and produced fluids of oil payzones for over 2000 waterflood projects in Illinois. These data are not collected by any other organization and are available only at the ISGS. These data were compiled to create a comprehensive data layer that delineates boundaries of all known waterflood projects currently operating and that have operated in the past in Illinois. Outlines of individual waterflood projects were compiled from historic hand-drawn maps (1:31680) by ISGS geologists or maps (scales vary) submitted by operators. These maps were scanned and georeferenced. Waterflood projects were then digitized. Information about each waterflood project is contained in a waterflood database completed in conjunction with this data layer. Some information from the waterflood database is related as attributes. As waterflood boundaries may change over time, only a portion of a waterflood throughout its history may be digitally represented. This data layer was created as part of a U. S. Department of Energy (DOE) Preferred Upstream Maintenance Pressure (PUMP) II initiative (DEFC26-02NT15132).
The data layer delineates boundaries of all known waterflood projects in Illinois in a digitial format. Waterflood information can then be used to distinguish areas that have been waterflooded from those that may not have been waterflooded. Areas not waterflooded or under-flooded can then be identified as underdeveloped areas (UDA's) which may have a high potential for economically feasible secondary oil recovery. Also, historic data is commonly used as analogs to evaluate potential of new floods. The data used in these analyses is contained in these files.


Metadata IL_Historical_Waterflood_Areas_Py.shp_.html IL_Historical_Waterflood_Areas_Py.shp_.xmlYour browser does not support iframes, but you can use the following link. Link
DataZip Data:  IL_Historical_Waterflood_Areas_Py.zip
Serviceshttps://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Waterflood_Areas/MapServer"
Illinois Well Headers,"This layer contains data describing well headers in the state of Illinois, obtained by the AASG for the Geothermal Data Project. 
The data table includes general information on the location of the borehole, well construction information, location uncertainty 
and remarks. Information sources are included in the dataset. The HeaderURI for a particular borehole is the cross-referencing 
link (foreign key) used to associate the borehole with web based information on the well construction, pictures or other 
information, specific to one feature. The data is displayed using a circle with a transparent center. 

Layer files containing the symbology for these data layers can be found in the AASG repository at 
http://repository.stategeothermaldata.org/repository/resource/98ddf901b9782a25982e01af3b068fdc/.

The original data and metadata can be viewed or downloaded from the AASG repository at 
http://repository.stategeothermaldata.org/repository/resource/168566464e3d5f8f3cde3b9fc003f532/ or from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-well-headers.",none,"DataSummaryThis layer contains data describing well headers in the state of Illinois, obtained by the AASG for the Geothermal Data Project. 
The data table includes general information on the location of the borehole, well construction information, location uncertainty 
and remarks. Information sources are included in the dataset. The HeaderURI for a particular borehole is the cross-referencing 
link (foreign key) used to associate the borehole with web based information on the well construction, pictures or other 
information, specific to one feature. The data is displayed using a circle with a transparent center. 

Layer files containing the symbology for these data layers can be found in the AASG repository at 
http://repository.stategeothermaldata.org/repository/resource/98ddf901b9782a25982e01af3b068fdc/.

The original data and metadata can be viewed or downloaded from the AASG repository at 
http://repository.stategeothermaldata.org/repository/resource/168566464e3d5f8f3cde3b9fc003f532/ or from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-well-headers.


Serviceshttp://geothermal.isgs.illinois.edu/arcgis/rest/services/aasggeothermal/ILWellHeaders/MapServer"
Illinois Well Logs,"This layer contains data related to well log observations in the state of Illinois, obtained by the AASG for the Geothermal Data Project.  
The data table includes information on the location of the borehole, log type, location uncertainty, file locations and remarks.  
Citations are included in the dataset. 
The WellBoreURI for a particular feature is the cross-referencing link (foreign key) used to associate the feature with other web based information.

Layer files containing the symbology for these data layers can be found in the AASG repository at 
http://repository.stategeothermaldata.org/repository/resource/98ddf901b9782a25982e01af3b068fdc/.

The original data and metadata can be viewed or downloaded from the AASG repository at 
http://repository.stategeothermaldata.org/repository/resource/98ddf901b9782a25982e01af3b12c35b/ or from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-well-logs.",none,"DataSummaryThis layer contains data related to well log observations in the state of Illinois, obtained by the AASG for the Geothermal Data Project.  
The data table includes information on the location of the borehole, log type, location uncertainty, file locations and remarks.  
Citations are included in the dataset. 
The WellBoreURI for a particular feature is the cross-referencing link (foreign key) used to associate the feature with other web based information.

Layer files containing the symbology for these data layers can be found in the AASG repository at 
http://repository.stategeothermaldata.org/repository/resource/98ddf901b9782a25982e01af3b068fdc/.

The original data and metadata can be viewed or downloaded from the AASG repository at 
http://repository.stategeothermaldata.org/repository/resource/98ddf901b9782a25982e01af3b12c35b/ or from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-well-logs.

Serviceshttp://geothermal.isgs.illinois.edu/arcgis/rest/services/aasggeothermal/ILWellLogs/MapServer"
Illinois Well Tests,"This layer contains data related to well tests for wells in Illinois, obtained by the AASG for the Geothermal Data Project. The data table includes general information on the location of the well, location uncertainty and test results and formation at depth. Information sources are included in the dataset. 
The HeaderURI for a particular well is the cross-referencing link (foreign key) used to associate the feature with web based information on the feature including pictures or other information. The data is displayed using a black circle with a lime green cross. 
The original data and metadata can be viewed or downloaded from the USGIN Repository at State Geothermal Data Repository or from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-well-tests.",none,"DataSummaryThis layer contains data related to well tests for wells in Illinois, obtained by the AASG for the Geothermal Data Project. The data table includes general information on the location of the well, location uncertainty and test results and formation at depth. Information sources are included in the dataset. 
The HeaderURI for a particular well is the cross-referencing link (foreign key) used to associate the feature with web based information on the feature including pictures or other information. The data is displayed using a black circle with a lime green cross. 
The original data and metadata can be viewed or downloaded from the USGIN Repository at State Geothermal Data Repository or from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-well-tests.

Serviceshttp://geothermal.isgs.illinois.edu/arcgis/rest/services/aasggeothermal/ILWellTests/MapServer"
ISGS Field Notes,"The Illinois State Geological Survey's typed field notes in the map library have been scanned as part of the National Geological and Geophysical Data Preservation Program (NGGDPP). Nearly 70,000 pages in 170 volumes covering Illinois and nearby states are available digitally. In addition, precise locations from each page have been entered into a database so that notes can be discovered and viewed spatially using GIS. There are about 100,000 location references (about 75,000 distinct locations).",/viewers/VectorIdentifier.html,"DataSummaryThe Illinois State Geological Survey's typed field notes in the map library have been scanned as part of the National Geological and Geophysical Data Preservation Program (NGGDPP). Nearly 70,000 pages in 170 volumes covering Illinois and nearby states are available digitally. In addition, precise locations from each page have been entered into a database so that notes can be discovered and viewed spatially using GIS. There are about 100,000 location references (about 75,000 distinct locations).


Serviceshttps://data.isgs.illinois.edu/arcgis/rest/services/Geology/Field_Notes/MapServer
ViewerYour browser does not support iframes, but you can use the following link. Link
Project SponsorsProject Sponsors: Illinois State Geological SurveyUS Geological Survey"
Location Points from the ISGS Wells and Borings Database,"This dataset contains point locations from the ISGS Wells and Borings database. The attribute information includes API_NUMBER, STATUS (well or boring type code), STATUS_TEXT (verbose description of the well or boring type), COMP_DATE (the well completion date), LATITUDE, and LONGITUDE. The spatial reference is geographic coordinates, decimal degrees, NAD83. The data are exported to a shapefile weekly from the Wells and Borings (source) database for Internet distribution. The source database is updated daily. Thus, there may be recent updates (last 7 days) in the source database that are not reflected in this shapefile. The data are primarily oil, gas and water wells, but also include other designations such as engineering boring, stratigraphic test hole, injection well, etc. The collection contains data for over 580,000 wells and borings, some dating back to 1801 (assumed.) Most locations have not been field verified. The nominal scale is 1:62,500, however locations have been determined in several different ways at different scales. Most commonly, the location is derived by converting a legal (i.e. Public Land Survey Survey - PLSS) description to a point location. The stated accuracy is +/- 100 feet, however some points may be inaccurate by as much as one mile due to irregularities in the Illinois PLSS and associated descriptions. For legal descriptions that indicate only a PLSS section or quarter-section, the point is assumed to be in the center of the respective section or quarter-section. Additional detailed information about these wells and borings is available free of charge online through the Illinois State Geological Survey in the ILOIL (oil and gas) and ILWATER (water and related wells) interactive map services.  Additional information may include owner, permit details, PLSS location, total depth, surface elevation, geologic formation and material description, driller's log, and down-hole logs.",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_WELLS_Borings_Location_Pt.html,"DataSummaryThis dataset contains point locations from the ISGS Wells and Borings database. The attribute information includes API_NUMBER, STATUS (well or boring type code), STATUS_TEXT (verbose description of the well or boring type), COMP_DATE (the well completion date), LATITUDE, and LONGITUDE. The spatial reference is geographic coordinates, decimal degrees, NAD83. The data are exported to a shapefile weekly from the Wells and Borings (source) database for Internet distribution. The source database is updated daily. Thus, there may be recent updates (last 7 days) in the source database that are not reflected in this shapefile. The data are primarily oil, gas and water wells, but also include other designations such as engineering boring, stratigraphic test hole, injection well, etc. The collection contains data for over 580,000 wells and borings, some dating back to 1801 (assumed.) Most locations have not been field verified. The nominal scale is 1:62,500, however locations have been determined in several different ways at different scales. Most commonly, the location is derived by converting a legal (i.e. Public Land Survey Survey - PLSS) description to a point location. The stated accuracy is +/- 100 feet, however some points may be inaccurate by as much as one mile due to irregularities in the Illinois PLSS and associated descriptions. For legal descriptions that indicate only a PLSS section or quarter-section, the point is assumed to be in the center of the respective section or quarter-section. Additional detailed information about these wells and borings is available free of charge online through the Illinois State Geological Survey in the ILOIL (oil and gas) and ILWATER (water and related wells) interactive map services.  Additional information may include owner, permit details, PLSS location, total depth, surface elevation, geologic formation and material description, driller's log, and down-hole logs.


Metadata IL_WELLS_Borings_Location_Pt.htmlYour browser does not support iframes, but you can use the following link. Link
DataLookup tables:  Status Codes (PDF)  Status Codes (XLS)
Zip Data:  IL_WELLS_Borings_Location_Pt.zip"
