Title,Date,Publisher,Description,Metadata
"(u'PAMAP Program Land Cover for Pennsylvania, 2005',)","(u'2007',)","(u'The Pennsylvania State University',)","(u'The 2005 land cover for Pennsylvania was created through a mix of\r\ninterpretation of remotely sensed data and use of ancillary data sources.\r\nThe date actually is a mid-point as the remotely sensed and ancillary data\r\nare representative of the time period 2003-2007.\r\n\r\nThe coding is based on the Anderson Land Use/Land Cover system, where the \r\nmore descriptive detail in the category is reflected by a higher code value.\r\nFurther the coding is hierarchical so that each group can be related to other\r\ncodes within a general category.  For example, in the Anderson system the general \r\nclassification of forest is a 4, a deciduous forest is 41, and so on.  For a \r\ndescription of the Anderson system see;\r\n\r\nhttp://landcover.usgs.gov/pdf/anderson.pdf\r\n\r\nThis project was funded by The PA Department of Conservation and Natural Resources (DCNR)',)","(u'FullMetadataDisplay.aspx?file=palanduse05utm18nad83.xml',)"
"(u'Radiation Facilities',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Radiation Facility is a DEP primary facility type related to the Radiation Protection Program. The sub-facility types related to Radiation that are included are:___\r\nAccelerator -- Electronic machine producing high energy radiation, \r\nMammography Quality Stds Act Tube -- Specialized X-ray equipment for mammography, \r\nX-ray Machine -- A facility where X-ray machines other than accelerators are used',)","(u'FullMetadataDisplay.aspx?file=RadiationFacilities2018_01.xml',)"
"(u'Drug Alcohol Treatment Facilities',)","(u'2012',)","(u'Pennsylvania Department of Health',)","(u""PA Drug and Alcohol Treatment Centers from the PA Dept of Health's quality assurance database.  Current as of 10/25/2007"",)","(u'FullMetadataDisplay.aspx?file=DOH_DrugAlcoholTreatmentFacilities201210.xml',)"
"(u'TIGER/Line Shapefile, 2009, 2000 state, Pennsylvania, Census 2000 Unified School Districts',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaUnifiedSchoolDistricts2000.xml',)"
"(u'WCO Districts',)","(u'2017',)","(u'Pennsylvania Fish and Boat Commission',)","(u'Pennsylvania Fish and Boat Commission Waterways Conservation Officer Districts',)","(u'FullMetadataDisplay.aspx?file=WCO_Districts201702.xml',)"
"(u'National Land Cover Database 2001 -  Imperviousness Layer - Southeast',)","(u'2003',)","(u'U S Geological Survey',)","(u'The National Land Cover Database 2001 for mapping zone 47 was produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium.  The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS).  One of the primary goals of the project is to generate a current, consistent, seamless, and accurate National Land Cover Database (NLCD) circa 2001 for the United States at medium spatial resolution.  For a detailed definition and discussion on MRLC and the NLCD 2001 products, refer to Homer et al. (2003) and http://www.mrlc.gov/mrlc2k.asp.\r\n\r\nThe NLCD 2001 was created by partitioning the U.S. into mapping zones.  A total of 66 mapping zones were delineated within the conterminous U.S. based on ecoregion and geographical characteristics, edge matching features and the size requirement of Landsat mosaics.  Mapping zone 47 encompasses whole or portions of several states including the states of Kentucky, Indiana, Ohio, Tennessee, and Missouri.  Questions about the NLCD mapping zone 47 can be directed to the NLCD 2001 land cover mapping team at the National Center, EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.',)","(u'FullMetadataDisplay.aspx?file=impervious14_southeast3k_091406.xml',)"
"(u'Delaware River Basin watershed boundaries - HUC 11',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'watershed boundaries for the Delaware River Basin at the HUC 11 level',)","(u'FullMetadataDisplay.aspx?file=drb_huc11_polygon.xml',)"
"(u'Psychiatric Residential Treatment Facilities',)","(u'2016',)","(u'Pennsylvania Department of Health',)","(u""PA Psychiatric Residential Treatment Facilities from the PA Dept of Health's quality assurance database.  Current as of 12/6/2006."",)","(u'FullMetadataDisplay.aspx?file=DOH_PsychiatricResidentialTreatFacilities201609.xml',)"
"(u'Land Recycling Cleanup Locations',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Land Recycling Cleanup Location\r\n\r\nLand Recycling Cleanup Locations (LRCL) are divided into one or more sub-facilities categorized as media: Air, Contained Release or Abandoned Container, Groundwater, Sediment, Soil, Surface Water, and Waste. Media is the environmental resource that is associated with the cleanup effort. The following primary facility kinds describe the Acts from which cleanup locations are derived:\r\n\r\nAct2 Land Recycling and Environmental Remediation Standards\r\nThe first declaration of Section 102 of the policy provides a brief description of the purpose of Act2: \r\n\r\nThe elimination of public health and environmental hazards on existing commercial and industrial land across this Commonwealth is vital to their use and reuse as sources of employment, housing, recreation, and open-space areas. The reuse of industrial land is an important component of a sound land use policy that will help prevent the needless development of prime farmland, open-space areas and natural areas and reduce public costs for installing new water, sewer, and highway infrastructure.\r\n\r\nCERCLA Comprehensive Environmental Response, Compensation, and Liability Act, also known as the Superfund\r\nThis act was passed by Congress as a federal law in December of 1980, creating a tax on chemical and petroleum industries to: \r\n\r\nIdentify and respond to sites from which releases of hazardous substances into the environment have occurred or could potentially occur \r\nEnsure they are cleaned up by responsible parties or through government funding \r\nEvaluate damages to natural resources \r\n\r\nHSCA Hazardous Sites Cleanup Act\r\n\r\n[This Act] provides the Department of Environmental Protection (DEP) with the funding and the authority to conduct cleanup actions at sites where hazardous substances have been released. HSCA also provides DEP with enforcement authorities to force the persons who are responsible for releases of hazardous substances to conduct cleanup actions or to repay public funds spent on a DEP funded cleanup action. HSCA funds are also used to pay the state share of costs of cleanup actions at Pennsylvania sites in the Federal Superfund program. Under the provisions of HSCA, most HSCA sites involve bankrupt facility owners, abandoned facilities, and inappropriate disposal of hazardous substances. As a general rule, HSCA sites do not include active facilities with financially viable owners.\r\n\r\nOther\r\nThe Other primary facility kind includes a mixture of various different cleanup sites, no further action sites, and potential sites. This is optional data that the regional offices are not required to maintain.\r\n\r\nSTSP Storage Tank Spill and Prevention Act\r\nReleases and/or ruptures from improperly installed or faulty storage tanks contaminate the Commonwealth\'s land and water resources. This act was passed to prevent such contamination through ""improved safeguards on the installation and construction of storage tanks.""',)","(u'FullMetadataDisplay.aspx?file=LandRecyclingCleanupLocations2018_01.xml',)"
"(u'TIGER/Line Shapefile, 2009, state, Pennsylvania, Current Block State-based',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaCurrentBlockStatebased2009.xml',)"
"(u'TIGER/Line Shapefile, 2009, econ state, Pennsylvania, Economic Census Place Shapefile',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaEconomicCensusPlace2009.xml',)"
"(u'National Land Cover Database 2001 - Land Cover Layer - Western Pennsylvania and Ohio',)","(u'2003',)","(u'U S Geological Survey',)","(u'The National Land Cover Database 2001 was produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium.  The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS).  One of the primary goals of the project is to generate a current, consistent, seamless, and accurate National Land cover Database (NLCD) circa 2001 for the United States at medium spatial resolution.  This landcover map and all documents pertaining to it are considered ""provisional""  until a formal accuracy assessment can be conducted.  For a detailed definition and discussion on MRLC and the NLCD 2001 products, refer to Homer et al. (2004) and http://www.mrlc.gov/mrlc2k.asp.\r\n\r\nThe NLCD 2001 is created by partitioning the U.S. into mapping zones.  A total of 66 mapping zones were delineated within the conterminous U.S. based on ecoregion and geographical characteristics, edge matching features and the size requirement of Landsat mosaics.  Mapping zone 60 encompasses whole or portions of several states, including the states of New Jersey, Delaware, Maryland, Pennsylvania, Virginia, and the District of Columbia.  Questions about the NLCD mapping zone 60 can be directed to the NLCD 2001 land cover mapping team at the National Center, EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.',)","(u'FullMetadataDisplay.aspx?file=landcov11_westernpa_ohio_3k_022007.xml',)"
"(u'Physiographic Provinces 1:100,000',)","(u'1995',)","(u'Pennsylvania Department of Conservation and Natural Resources',)","(u'Late in 1994, the Pennsylvania Bureau of Topographic and Geologic Survey was\r\nasked to develop a digital physiographic provinces map at 1:100,000 scale. The\r\nthen-available physiographic provinces map was compiled by the Survey at\r\n1:500,000 scale and published at 1:2,000,000 scale in 1989. A new physiographic\r\nprovinces map was recompiled on county 1:50,000-scale topographic maps having\r\n20-foot contour intervals. Boundaries based primarily on geology were positioned\r\nusing  published geological maps. Most boundaries were positioned by topographic\r\ninterpretation. The use of a 20-foot contour interval (a 200-foot interval was\r\nused in 1989) resulted in the repositioning of some boundaries. New\r\nscale-enhanced understanding of topographic/geologic patterns in the Appalachian\r\nPlateaus province resulted in the creation of three new sections and the revision\r\nof other section boundaries. The new compilation was reduced 50 percent and\r\ntransferred to 1:100,000-scale mylar base maps. The province and section\r\nboundaries and the late Wisconsinan glacial border were digitized from the\r\nmylars, edgematched, assembled into a single dataset, and attributed with\r\nphysiographic province and section names using UNIX-based Arc/Info. The late\r\nWisconsinan glacial border, which coincides with province and section boundaries\r\nin some places, was copied to a separate dataset and removed from the dataset\r\ncontaining the province and section boundaries. There are two datasets for the\r\nlate Wisconsinan glacial border and the physiographic province and section\r\nboundaries. The original datasets are accurate at 1:100,000 scale. The other\r\ndatasets have been generalized to 1:500,000-scale accuracy for more regional\r\nwork.\r\nA companion dataset consisting of the state and county boundaries of Pennsylvania\r\nwas compiled from the U.S. Geological Survey (USGS) 1:100,000-scale\r\ndigital-line-graph (DLG) files for boundaries. The dataset has been attributed\r\nwith the county names.',)","(u'FullMetadataDisplay.aspx?file=pags_physprov1k.xml',)"
"(u'Industrial Mineral Mining Operations',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'An Industrial Mineral Mining Operation is a DEP primary facility type related to the Industrial Mineral Mining Program. The sub-facility types are listed below: Deep Mine Underground mining of industrial minerals, i.e., noncoal mining. Includes, but is not limited to, industrial minerals extracted from beneath the surface by means of shafts, tunnels, adits, or other mine openings. \r\nDischarge Point Discharge of water from an area as a result of industrial mining activities, i.e., noncoal mining. \r\nMineral Preparation Plant Facility at which industrial minerals (i.e., noncoal minerals) are cleaned and processed. \r\nSurface Mine Surface mining of industrial minerals (i.e., noncoal minerals) by removing material which lies above the industrial minerals. Includes, but is not limited to, strip, auger, quarry, dredging, and leaching mines.',)","(u'FullMetadataDisplay.aspx?file=IndustrialMineralMiningOperations2018_01.xml',)"
"(u'Environmental Sensitivity Index (ESI) Maps and Data - Virginia',)","(u'2006',)","(u'National Weather Service NOAA NWS',)","(u'This data set contains vector lines and polygons representing data used in\r\nthe creation of the Environmental Sensitivity Index (ESI) for the Hudson River. The data layer contains all annotation used in producing the atlas. This data set comprises a portion of the ESI data for the Hudson River. ESI data characterize the marine and coastal environments and wildlife by their sensitivity to spilled oil. The ESI data include information for three main components: shoreline habitats,\r\nsensitive biological resources, and human-use resources. Data includes: HYDRO, ESI, WETLANDS, BIRDS, FISH, INVERT, MAMMAL(Marine), MAMMAL(Terrestrial),  HABITATS, REPTILES, MGT, INDEX, SOCECON, RVRMILES, SENSITIV, STAGING.',)","(u'FullMetadataDisplay.aspx?file=ESIMaps_Virginia.xml',)"
"(u'Law Enforcement Regions',)","(u'2017',)","(u'Pennsylvania Fish and Boat Commission',)","(u'The data set was created using the PennDOT Counties GIS layer & TeleAtlas North America Roads GIS layers as Region boundaries follow these features.  Polygons from the Counties layer were merged to create the Regions and then modified using the roads layers where appropriate.  Roads were incorporated by using the Trace Sketch Tool in ArcMap.',)","(u'FullMetadataDisplay.aspx?file=LawEnforcementRegions201708.xml',)"
"(u'Conservation Wells Plugged',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'The plugged conservation well layer identifies the permitted surface location of oil and gas conservation wells that have been plugged.  A conservation well is any well which penetrates the Onondaga horizon, or in those areas in which the Onondaga horizon is nearer to the surface than thirty-eight hundred feet, any well which exceeds a depth of thirty-eight hundred feet beneath the surface.',)","(u'FullMetadataDisplay.aspx?file=ConservationWells_Plugged2018_01.xml',)"
"(u'Stratification of Virginia',)","(u'2002',)","(u'U S Department of Agriculture',)","(u'The United States Department of Agriculture (USDA), National Agricultural Statistics Service (NASS) area sampling frame is a delineation of all parcels of land for the purpose of later sampling the parcels. The area frame is constructed by visually interpreting satellite imagery to divide a state into homogenous land use areas (strata) based on percent cultivated. The strata are typically defined as low, medium or high percent cultivated, non-agricultural land, urban use, agri-urban, or water. The boundaries of the strata usually follow identifiable features such as roads, railroads and waterways. The strata boundaries do not coincide with any political boundaries, with the exception of state boundaries.',)","(u'FullMetadataDisplay.aspx?file=usdava_strata2002.xml',)"
"(u'Physiographic Sections of the Susquehanna River Basin',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u'This is a polygon coverage of Physiographic Divisions of the Susquehanna River Basin (2006 boundary). It was automated from Fenneman\'s\r\n1:7,000,000-scale map, ""Physical Divisions of the United\r\nStates,"" which is based on eight major divisions, 25 provinces,\r\nand 86 sections representing distinctive areas having common\r\ntopography, rock types and structure, and geologic and\r\ngeomorphic history.',)","(u'FullMetadataDisplay.aspx?file=physio_SRBC.xml',)"
"(u'TIGER/Line Shapefile, 2009, 2000 state, Pennsylvania, Census 2000 Block State-based',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaBlock2000.xml',)"
"(u'Integrated List Attaining Lakes',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'This layer shows only attaining lakes of the Integrated List. The Lakes Integrated List represents lake assessments in an integrated format for the Clean Water Act Section 305(b) reporting and Section 303(d) listing. PA DEP protects 4 lake water uses: aquatic life, fish consumption, potable water supply, and recreation. The 305(b) layers represent lakes that have been evaluated for attainment of those uses. If a lake is not attaining any one of its 4 uses, it is considered impaired. Aquatic Life use attainment - The integrity reflected in any component of the biological community (i.e. fish or fish food organisms). Fish Consumption use attainment - The risk posed to people by the consumption of aquatic organisms (ex. fish, shellfish, frogs, turtles, crayfish, etc.). Recreational use attainment - The risk associated with human recreation activities in or on a water body (i.e. exposure to bacteria and other disease causing organisms through water contact recreation like swimming or water skiing). Potable Water Supply use attainment - The risk posed to people by the ingestion of drinking water. Lakes that have appeared on an approved Category 5 Integrated Listing are the entries labeled as approved. Integrated Lists are submitted for approval every other year. Lakes entered subsequent to the latest approved Category 5 listing are labeled tentative. After appearing on an approved listing, the tentative entries move to approved. The Lake Integrated List is provided as two separate layers determined if the lake is attaining or not attaining its designated uses. DEP Lakes Integrated List layers are maintained by the PADEP Office of Water Management, Bureau of Water Supply & Wastewater Management, Water Quality Assessment and Standards Division. The layer is based on the High Resolution National Hydrography Dataset (NHD). Additional update information is provided by Bureau of Watershed Management, Water Use Planning Division.',)","(u'FullMetadataDisplay.aspx?file=IntegratedListAttaining_Lakes2018_01.xml',)"
"(u'Digital data set of mapped karst features in south-central and southeastern Pennsylvania',)","(u'2007',)","(u'Pennsylvania Department of Conservation and Natural Resources',)","(u'This point dataset represents an (incomplete) inventory of karst features (herein categorized as sinkholes, surface depressions, surface mines, or cave entrances) that have been cataloged in Pennsylvania by the staff of the Pennsylvania Geological Survey since 1985. County-wide karst-feature inventories for fourteen counties (Adams, Berks, Bucks, Centre, Chester, Cumberland, Dauphin, Franklin, Lancaster, Lebanon, Lehigh, Montgomery, Northampton, and York) were originally released as hard-copy open file reports by the agency. The user of this dataset would be well served to consult one of those reports for specifics on how the inventories were conducted. Data are also provided from incidental reports of karst features as well as partial or cursory inventories in eight additional counties (Bedford, Blair, Clinton, Fulton, Huntingdon, Juniata, Lycoming, and Mifflin). \r\n\r\nThe majority of these features were identified on contact prints of USDA, USGS, and other aerial photography. Photo locations were then transferred to paper copies of USGS 7.5 minute quadrangles where the coordinates for the locations were determined using a constantly evolving array of technologies from mylar overlay grids, through early proprietary mapping software and more recently with GIS and GPS technology. . Some features in urbanized areas were identified via questionnaires that were sent to the municipalities in the counties being inventoried. The locations of surface mines and cave entrances were garnered from historical geological publications. \r\n\r\nLocations of historical iron mines and other activities often associated with karst features were garnered from historical geological publications. \r\n\r\nField surveys were undertaken to establish protocol for future mapping efforts as well as to verify the field presence of interpreted features. Field verified sites are not identified in the data set.\r\n\r\nKarst features change considerably over time. Sinkholes become filled or subsidence is repaired. One of the motivations for the karst inventory program was the rapid development taking place in many of the counties where karst could be a problem. Development obliterates much of the evidence for underlying karst features.',)","(u'FullMetadataDisplay.aspx?file=DCNR_PAKarst.xml',)"
"(u'District Boundaries',)","(u'2017',)","(u'Pennsylvania Game Commission',)","(u'PA Game Commission districts  boundaries',)","(u'FullMetadataDisplay.aspx?file=PGC_BNDDistricts2017.xml',)"
"(u'Delaware River Basin Commission watershed boundaries - HUC 8',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'watershed boundaries for the Delaware River Basin at the HUC 8 level',)","(u'FullMetadataDisplay.aspx?file=drb_huc8_polygon.xml',)"
"(u'Fault Lines - Topographic Change in Philadelphia, During the Last Century',)","(u'2000',)","(u'U S Geological Survey',)","(u'A scope of work was developed in response to a request by the U. S. Army Corps\r\nof Engineers, Philadelphia District. The request was to perform a topographic\r\nchange grid analysis for the Frankford 7.5-minute quadrangle, 1:24,000-scale\r\ntopographic map, which includes the Wissinoming neighborhood, and the Germantown 7.5-minute quadrangle, which includes the Logan and Feltonville neighborhoods of the City of Philadelphia. The following tasks were performed under this scope of work: A GPS-corrected GIS grid analysis for each quadrangle was completed and is accompanied by documentation that describes procedures and provides metadata of the informational content of the GIS. A high-resolution global positioning system (GPS) survey was conducted for each topographic quadrangle in order to evaluate and correct systematic discrepancies in elevation between the modern and historic surveys. Prior to release, the fully documented GPS-corrected GIS grid analysis for each quadrangle was reviewed for (1) com-pleteness of documentation and for (2) appropriate analysis and discussion of uncertainties.\r\nThe following report is in fulfillment of the tasks outlined in this scope of work and was performed by the U. S. Geological Survey for the U. S. Army Corps of Engineers, Philadelphia District under MIPR agreement number: W25PHS93358288.',)","(u'FullMetadataDisplay.aspx?file=PHIL_faults.xml',)"
"(u'Delaware River Basin county boundaries - unclipped',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'County boundaries that touch the Delaware River Basin, not clipped to the basin boundary',)","(u'FullMetadataDisplay.aspx?file=drb_co_polygon.xml',)"
"(u'National Agricultural Imagery Program (NAIP) - quarter-quadrangle index',)","(u'2006',)","(u'U S Department of Agriculture',)","(u'Index of USGS quarter-quadrangles (3.75 minute) covering Pennsylvania used for 2004 National Agricultural Imagery program (NAIP) images.  The polygons are attributed with information pertaining to USGS quadrangle names and quarter-quad designations. The polygons are also attributed with the initial identifying portion of the 2004 NAIP image file names.',)","(u'FullMetadataDisplay.aspx?file=NAIPQQIndex.xml',)"
"(u'TIGER/Line Shapefile, 2009, state, Pennsylvania, Current County and Equivalent State-based',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaCurrentCounty2009.xml',)"
"(u'National Land Cover Database 2001 - Land Cover Layer - Pennsylvania and Northeast',)","(u'2003',)","(u'U S Geological Survey',)","(u'The National Land Cover Database 2001 was produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium.  The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS).  One of the primary goals of the project is to generate a current, consistent, seamless, and accurate National Land cover Database (NLCD) circa 2001 for the United States at medium spatial resolution.  This landcover map and all documents pertaining to it are considered ""provisional""  until a formal accuracy assessment can be conducted.  For a detailed definition and discussion on MRLC and the NLCD 2001 products, refer to Homer et al. (2004) and http://www.mrlc.gov/mrlc2k.asp.\r\n\r\nThe NLCD 2001 is created by partitioning the U.S. into mapping zones.  A total of 66 mapping zones were delineated within the conterminous U.S. based on ecoregion and geographical characteristics, edge matching features and the size requirement of Landsat mosaics.  Mapping zone 60 encompasses whole or portions of several states, including the states of New Jersey, Delaware, Maryland, Pennsylvania, Virginia, and the District of Columbia.  Questions about the NLCD mapping zone 60 can be directed to the NLCD 2001 land cover mapping team at the National Center, EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.',)","(u'FullMetadataDisplay.aspx?file=landcov13_pa_northeast_3k_022007.xml',)"
"(u'Northern Lancaster County Groundwater Study',)","(u'2005',)","(u'Susquehanna River Basin Commission SRBC',)","(u""Contains various shapefiles, pdf's, and jpeg maps pertaining to the Northern Lancaster County Groundwater study. Layer include groundwater basin shapefiles include - river basins, MCD's, census blocks, sewage treatment outfalls, water use, study area, dry stream valley systems, geology, karst modified uplands, impervious surfaces, wetlands.\r\nJPEG maps include study area, basins, withdraws, conductivity, nitrates, geology, water tables, flowlines, mapplate."",)","(u'FullMetadataDisplay.aspx?file=northernlancastergroundwaterstudy.xml',)"
"(u'DOH Trauma Hospitals 15Min Drive Time Polygons',)","(u'2012',)","(u'Pennsylvania Department of Health',)","(u""These polygons represent 15-minute drive-time polygons to Pennsylvania's trauma hospitals (accredited by the PA Trauma Systems Foundation)."",)","(u'FullMetadataDisplay.aspx?file=DOH_Trauma_Hospitals_15_Min_Drive_Time_Polygons.xml',)"
"(u'Physical Speech Therapy Facilities',)","(u'2016',)","(u'Pennsylvania Department of Health',)","(u'The PA_Physical_Speech_Therapists_2016 layer contains the latitude and longitude coordinates of 94 physical speech therapy centers in Pennsylvania. When possible, efforts were made to confirm the rooftop location of each physical speech therapy center. The accuracy of geocoding is available in Geocoding Certainty attribute field (Geocoding Certainty: Rooftop=""00"", Street=""01"", Zip Centroid=""04"", Not geocoded=""99""). Latitude and longitude fields are recorded in the WGS 1984 coordinate system.Last updated: 11/09/2016 Contact Us: Pennsylvania Department of Health Division of Health Informatics RA-DHICONTACTUS@pa.gov 717-782-2448',)","(u'FullMetadataDisplay.aspx?file=DOH_PhysicalSpeechTherapyFacilities2016.xml',)"
"(u'Water Resources',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u""A Water Resource is a DEP primary facility type related to the Water Use Planning Program. The sub-facility types related to Water Resources that are included are:____\r\nDischarge:\r\n\r\nA Discharge subfacility type represents the return of water used at a Water Resources primary facility. The subfacility type may be a sewage treatment plant, instream discharge, spray irrigation field, groundwater recharge, on-lot septic or an unidentified facility type.\r\n\r\nGround Water Withdrawal:\r\n\r\nA Ground Water subfacility type represents the withdrawal of water used at a Water Resources primary facility. The subfacility type may be a well, spring, quarry, infiltration gallery, deep mine, surface mine or an unidentified facility type.\r\n\r\nInterconnection:\r\n\r\nAn Interconnection subfacility type represents the point of interconnection between Water Resources primary facilities. The subfacility type may be for an interconnection between two public water supply agencies or between a public water supply agency and a commercial or industrial water user.\r\n\r\nStorage:\r\n\r\nA Storage subfacility type represents the storage of water used at a Water Resources primary facility. The subfacility type represents raw or treated water storage and may be a quarry, standpipe, open off-stream reservoir, closed off-stream reservoir, instream reservoir, hydroelectric dam, natural lake, pond, silt dam, hydroelectric pumped storage or an unidentified facility type.\r\n\r\nSurface Water Withdrawal:\r\n\r\nA Surface Water subfacility type represents the withdrawal of water used at a Water Resources primary facility. The subfacility type may be an instream diversion, intake from a dam, natural lake, pond, river well, or an unidentified facility type.\r\n\r\nWater Allocation:\r\n\r\nA Water Allocation subfacility type represents a permit issued for a surface water withdrawal by a Water Resources Public Water Supply (PWS) Agency primary facility. The subfacility type (permit) may be issued for all PWS Water Resources' surface water withdrawals, ground water withdrawals except ground water wells, or interconnections used by a receiving PWS from a surface water PWS.\r\n\r\n\r\nPrimary facility kinds, 'Water Purveyor' and 'Electric Use', are removed."",)","(u'FullMetadataDisplay.aspx?file=WaterResources2018_01.xml',)"
"(u'Physiographic Sections for Pennsylvania',)","(u'2008',)","(u'Pennsylvania Department of Conservation and Natural Resources',)","(u'This polygon feature class is a digital representation of physiographic sections of Pennsylvania. It is a result of visual interpretation of the topography of Pennsylvania as illustrated by 20-feet countour intervals on 1:50,000 scale county-size topographic maps. There has been no field investigation or aerial photograph interpretation involved in the production of this dataset. The feature class has the attribute field called ""PHYSNO"", assigned as a unique number identifier. The number represents two steps in the units hierarchy (province-section) and has been padded to 14 character length for all records.',)","(u'FullMetadataDisplay.aspx?file=pags_physsections2008.xml',)"
"(u'Middle Susquehanna Subbasin',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u'Polygon shapefile of the Middle Susquehanna Subbasin.  This file was created from the 2006 subbasin.shp SRBC dataset.',)","(u'FullMetadataDisplay.aspx?file=sub_midd_SRBC.xml',)"
"(u'PAMAP Program - Railroad Lines',)","(u'2007',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of railroad lines aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_Rail2007.xml',)"
"(u'Geographic Names Information System (GNIS) for Pennsylvania',)","(u'2007',)","(u'U S Geological Survey',)","(u""The Geographic Names Information System (GNIS), developed by the U.S. Geological Survey in cooperation with the U.S. Board on Geographic Names (BGN), contains information about physical and cultural geographic features in the United States and associated areas, both current and historical, but not including roads and highways. The database also contains geographic names in Antarctica. The database holds the Federally recognized name of each feature and defines the location of the feature by state, county, USGS topographic map, and geographic coordinates. Other feature attributes include names or spellings other than the official name, feature designations, feature class, historical and descriptive information, and for some categories of features the geometric boundaries. The database assigns a unique feature identifier, a random number, that is a key for accessing, integrating, or reconciling GNIS data with other data sets. The GNIS is our Nation's official repository of domestic geographic feature names information."",)","(u'FullMetadataDisplay.aspx?file=GNIS_PA2007.xml',)"
